,Short Name,Reference
106,Rizalietal(2010),"Rizali, A., Lohman, D.J., Buchori, D., Prasetyo, L.B., Triwidodo, H., Bos, M.M., Yamane, S. & Schulze, C.H. (2010) Ant communities on small, tropical islands: effects of island size and isolation are obscured by habitat disturbance and ‘tramp’ ant species. Journal of Biogeography, 37, 229–236."
107,savage (1967) chanherp,"Savage, J. M.  (1967) Evolution of the insular herpetofaunas.  Pages 219-227 in R. N. Philbrick, editor.  Proceedings of the symposium on the biology of the California Islands.  Santa Barbara Botanic Garden, Santa Barbara, California, USA."
108,Scott (1970) butter2,"Scott, J.A. (1986) Distribution of Caribbean butterflies. Papilio, New Series 3, 1–26."
109,Sheremetev(2004),"Sheremet'ev, I.S. (2004) Stability of isolated populations of terrestrial mammals inhabiting the islands of the Peter the Great Bay, Sea of Japan. Russian Journal of Ecology, 35, 171–175."
110,simaikis & martinez-morales (2010) Dodekanisa,"Simaiakis, S. & Mart?nez-Morales, M.-A. 2010. Nestedness in centipede (Chilopoda) assemblages on continental islands (Aegean, Greece). Acta Oecologica, 36: 282–290"
111,simaikis & martinez-morales (2010) Kyklades,"Simaiakis, S. & Mart?nez-Morales, M.-A. 2010. Nestedness in centipede (Chilopoda) assemblages on continental islands (Aegean, Greece). Acta Oecologica, 36: 282–290"
112,Simberloff & Martin (1991) Maddabrd,"Simberloff, D., & Martin, J. L. (1991). Nestedness of insular avifaunas: simple summary statistics masking complex species patterns. Ornis Fennica, 68, 178-192."
113,Simberloff & Martin (1991) Qcbirds,"Simberloff, D., & Martin, J. L. (1991). Nestedness of insular avifaunas: simple summary statistics masking complex species patterns. Ornis Fennica, 68, 178-192."
114,Stanisic(2008)Snails,"Stanisic, J. (2008) Land snails of Mua island, Torres Strait. Memoirs of the Queensland Museum, Culture, 4, p.491"
115,Steadman & Freifeld (1998),"Steadman, D.W. & Freifeld, H.B. (1998) Distribution, relative abundance, and habitat relationships of landbirds in the Vava'u Group, Kingdom of Tonga. Condor, 100, 609–628."
116,Stoddart (1975) herbs,"Stoddart, D.R. (1975) Vegetation and floristics of the Aitutaki motus. Atoll Research Bulletin, 190, 87–116."
117,Stoddart  (1975) shrubs,"Stoddart, D.R. (1975) Vegetation and floristics of the Aitutaki motus. Atoll Research Bulletin, 190, 87–116."
118,Stoddart (1975) trees,"Stoddart, D.R. (1975) Vegetation and floristics of the Aitutaki motus. Atoll Research Bulletin, 190, 87–116."
119,Taiti & Ferrara (1991),"Taiti, S. & Ferrara, F. (1991) Terrestrial isopods (Crustacea) from the Hawaiian Islands. Bishop Museum Occasional Papers, 31, 202–227."
120,Wagner et al (2005) Hawaii plants,"Wagner, W. L., Herbst, D.R., & Lorence, D.H. (2005) Flora of the Hawaiian Islands website. http://botany.si.edu/pacificislandbiodiversity/hawaiianflora/index.ht"
121,Wagner&Lorence(2003)Endemic,"Wagner, W.L. & Lorence, D.H. (2003) Flora of the Marquesas Islands. Smithsonian Institution-National Tropical Botanical Garden. http://botany.si.edu/pacificislandbiodiversity/marquesasflora/overview.htm (accessed 8 March 2007)."
122,Wagner&Lorence(2003)Native,"Wagner, W.L. & Lorence, D.H. (2003) Flora of the Marquesas Islands. Smithsonian Institution-National Tropical Botanical Garden. http://botany.si.edu/pacificislandbiodiversity/marquesasflora/overview.htm (accessed 8 March 2007)."
123,Ward & Wetterer (2006),"Ward, D.F. & Wetterer, J.K. (2006) Checklist of the Ants of Fiji (Hymenoptera: Formicidae). Bishop Museum Occasional Papers, 85, 23–47."
124,Weselohetal_birds,"Hager, H.A. (1997) Conservation of species richness: are all umbrella species of similar quality? MSc Thesis. The University of Guelph, Ontario, Canada."
125,Wilcox (1980) calirept,"Wilcox, B. A.  (1980) Species number, stability, and equilibrium status of reptile faunas on the California Islands.  Pages 551-564 in D. M. Power, editor.  The California Islands: Proceedings of a multi-disciplinary symposium.  Santa Barbara Museum of Natural History, Santa Barbara, California, USA."
126,Woodroffe (1986) herbs,"Woodroffe, C.D. (1986) Vascular plant species-area relationships on Nui Atoll, Tuvalu, Central Pacific: a reassessment of the small island effect. Australian Journal of Ecology, 11, 21–31."
127,Woodroffe (1986) shrubs,"Woodroffe, C.D. (1986) Vascular plant species-area relationships on Nui Atoll, Tuvalu, Central Pacific: a reassessment of the small island effect. Australian Journal of Ecology, 11, 21–31."
128,Woodroffe (1986) trees,"Woodroffe, C.D. (1986) Vascular plant species-area relationships on Nui Atoll, Tuvalu, Central Pacific: a reassessment of the small island effect. Australian Journal of Ecology, 11, 21–31."
129,Yimingetal(1998),"Yiming, L., Niemela, J. & Dianmo, L. (1998) Nested distribution of amphibians in the Zhoushan archipelago, China: can selective extinction cause nested subsets of species? Oecologia, 113, 557–564."
130,aguilar-santelises & del castillo (2013) trees ,"Aguilar-Santelises, R., & del Castillo, R. F. (2013). Factors affecting woody plant species diversity of fragmented seasonally dry oak forests in the Mixteca Alta, Oaxaca, Mexico. Revista Mexicana de Biodiversidad, 84, 575-590."
131,aranda & Graciolli (2016) mutillidae ,"Aranda, R., & Graciolli, G. (2016). Protocol for collecting Mutillidae (Hymenoptera, Aculeata) in ecological studies: species–area effects on Mutillidae communities. Revista Brasileira de Entomologia, 60, 312-318."
